Date,Close
1/2/19 16:00,172.03
1/3/19 16:00,169.51
1/4/19 16:00,175.05
1/7/19 16:00,176.02
1/8/19 16:00,175.37
1/9/19 16:00,176.47
1/10/19 16:00,176
1/11/19 16:00,176.93
1/14/19 16:00,178.72
1/15/19 16:00,179.91
1/16/19 16:00,197.08
1/17/19 16:00,199.09
1/18/19 16:00,202.54
1/22/19 16:00,197.68
1/23/19 16:00,196.9
1/24/19 16:00,197.8
1/25/19 16:00,200.74
1/28/19 16:00,199.72
1/29/19 16:00,200.5
1/30/19 16:00,202.48
1/31/19 16:00,198.01
2/1/19 16:00,196.54
2/4/19 16:00,197.72
2/5/19 16:00,198.01
2/6/19 16:00,196.62
2/7/19 16:00,193.07
2/8/19 16:00,191.67
2/11/19 16:00,191.33
2/12/19 16:00,194.49
2/13/19 16:00,194.69
2/14/19 16:00,192.53
2/15/19 16:00,198.5
2/19/19 16:00,198.67
2/20/19 16:00,198.6
2/21/19 16:00,196.36
2/22/19 16:00,196
2/25/19 16:00,198.65
2/26/19 16:00,198.9
2/27/19 16:00,198.1
2/28/19 16:00,196.7
3/1/19 16:00,198.2
3/4/19 16:00,195.98
3/5/19 16:00,196
3/6/19 16:00,194.74
3/7/19 16:00,192.77
3/8/19 16:00,195.24
3/11/19 16:00,195.97
3/12/19 16:00,196.63
3/13/19 16:00,197.25
3/14/19 16:00,197.47
3/15/19 16:00,198.26
3/18/19 16:00,202.47
3/19/19 16:00,201.12
3/20/19 16:00,194.32
3/21/19 16:00,194.58
3/22/19 16:00,188.96
3/25/19 16:00,188.51
3/26/19 16:00,190.69
3/27/19 16:00,190.03
3/28/19 16:00,191.18
3/29/19 16:00,191.99
4/1/19 16:00,196.74
4/2/19 16:00,197.5
4/3/19 16:00,200.86
4/4/19 16:00,202.23
4/5/19 16:00,202.38
4/8/19 16:00,202.54
4/9/19 16:00,200.62
4/10/19 16:00,202.98
4/11/19 16:00,202.83
4/12/19 16:00,207.84
4/15/19 16:00,199.91
4/16/19 16:00,201.84
4/17/19 16:00,207.9
4/18/19 16:00,205.91
4/22/19 16:00,204.6
4/23/19 16:00,204.14
4/24/19 16:00,200.54
4/25/19 16:00,201.4
4/26/19 16:00,203.08
4/29/19 16:00,206.92
4/30/19 16:00,205.92
5/1/19 16:00,204.73
5/2/19 16:00,204.99
5/3/19 16:00,207.52
5/6/19 16:00,206.43
5/7/19 16:00,202.63
5/8/19 16:00,200.95
5/9/19 16:00,201.63
5/10/19 16:00,202.05
5/13/19 16:00,194.97
5/14/19 16:00,196.28
5/15/19 16:00,196.4
5/16/19 16:00,199.14
5/17/19 16:00,197.43
5/20/19 16:00,197.24
5/21/19 16:00,199.11
5/22/19 16:00,195.52
5/23/19 16:00,191.97
5/24/19 16:00,193
5/28/19 16:00,189.44
5/29/19 16:00,188.05
5/30/19 16:00,187.37
5/31/19 16:00,182.49
6/3/19 16:00,183.19
6/4/19 16:00,189.88
6/5/19 16:00,188.44
6/6/19 16:00,189.81
6/7/19 16:00,189.81
6/10/19 16:00,194.12
6/11/19 16:00,194.73
6/12/19 16:00,190.22
6/13/19 16:00,191.45
6/14/19 16:00,191.66
6/17/19 16:00,190.83
6/18/19 16:00,194.98
6/19/19 16:00,195.64
6/20/19 16:00,195.7
6/21/19 16:00,195.94
6/24/19 16:00,197.49
6/25/19 16:00,196.06
6/26/19 16:00,197.01
6/27/19 16:00,199.32
6/28/19 16:00,204.6
7/1/19 16:00,206.86
7/2/19 16:00,205.98
7/3/19 13:00,206.04
7/5/19 16:00,207.9
7/8/19 16:00,205.75
7/9/19 16:00,207.77
